Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,Groups With Access Code,Level1_Chargers,Level2_Chargers,DC_Fast_Chargers,EV_Network,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Connector_Types,Country,Total_Chargers,Total_Chargers_in_State
ELEC,Aloft Fort Worth North Trophy Club,96 Trophy Club Drive,Trophy Club,TX,76262,E,Public,0.0,4.0,0.0,Blink Network,32.992978,-97.189005,2/7/2024,198199,2024-02-07 23:59:03 UTC,J1772,US,4.0,8804.0
ELEC,TPS FACILITIES BROWNS POINT #3,1526 51st St NE,Tacoma,WA,98422,E,Public,0.0,1.0,0.0,Chargepoint Network,47.302692,-122.424934,2/8/2024,198202,2024-02-08 01:06:52 UTC,J1772,US,1.0,5842.0
ELEC,DC CORRIDOR CARL'S JR DC,1842 Fort Jones Rd,Yreka,CA,96097,E,Public,0.0,0.0,1.0,Chargepoint Network,41.702338,-122.645127,2/8/2024,198204,2024-02-08 01:10:37 UTC,CHADEMO J1772COMBO,US,1.0,49387.0
ELEC,DC CORRIDOR COMFORT INN DC,1844 Shastina Dr,Weed,CA,96094,E,Public,0.0,0.0,1.0,Chargepoint Network,41.399114,-122.379589,2/8/2024,198205,2024-02-08 01:10:37 UTC,CHADEMO J1772COMBO,US,1.0,49387.0
ELEC,Ashburn Village Shopping Center,44110 Ashburn Shopping Plz,Ashburn,VA,20147,E,Public,0.0,1.0,2.0,Evgo Network,39.044952,-77.475057,2/7/2024,198663,2024-02-07 23:56:42 UTC,CHADEMO J1772 J1772COMBO,US,3.0,4528.0
ELEC,Sheraton Redding,820 Sundial Bridge Dr,Redding,CA,96003,E,Public - Credit card at all times,0.0,10.0,0.0,Evcs,40.58850472,-122.377788,11/4/2021,199060,2023-06-02 10:20:24 UTC,J1772,US,10.0,49387.0
ELEC,Courtyard by Marriott Sacramento,1782 Tribute Rd,Sacramento,CA,95815,E,Public - Credit card at all times,0.0,0.0,6.0,Evcs,38.59680241,-121.4448656,11/4/2021,199061,2022-02-10 19:42:29 UTC,CHADEMO J1772COMBO,US,6.0,49387.0
ELEC,Hampton Inn & Suites Sacramento,2230 Auburn Blvd,Sacramento,CA,95821,E,Public - Credit card at all times,0.0,6.0,8.0,Evcs,38.62447509,-121.4129069,11/4/2021,199062,2022-02-10 19:42:29 UTC,CHADEMO J1772 J1772COMBO,US,14.0,49387.0
ELEC,Holiday Inn Express & Suites Sacramento,2224 Auburn Blvd,Sacramento,CA,95821,E,Public - Credit card at all times,0.0,6.0,8.0,Evcs,38.62412909,-121.4137241,11/4/2021,199063,2022-02-10 19:42:29 UTC,CHADEMO J1772 J1772COMBO,US,14.0,49387.0
ELEC,Hilton Arden West Sacramento,2200 Harvard St,Sacramento,CA,95815,E,Public - Credit card at all times,0.0,6.0,8.0,Evcs,38.60726905,-121.4335128,11/4/2021,199064,2022-02-10 19:42:29 UTC,CHADEMO J1772 J1772COMBO,US,14.0,49387.0
ELEC,Fairfield Inn Cal Expo,1780 Tribute Rd,Sacramento,CA,95815,E,Public - Credit card at all times,0.0,0.0,8.0,Evcs,38.59656147,-121.4467614,11/4/2021,199065,2022-02-10 19:42:29 UTC,CHADEMO J1772COMBO,US,8.0,49387.0
ELEC,St. John's Lutheran Church,1701 L St,Sacramento,CA,95811,E,Public - Credit card at all times,0.0,5.0,0.0,Evcs,38.57572491,-121.4840665,11/4/2021,199066,2022-02-10 19:42:29 UTC,J1772,US,5.0,49387.0
ELEC,The Elysian,1115 Sunset Blvd,Los Angeles,CA,90012,E,Public - Credit card at all times,0.0,0.0,4.0,Evcs,34.06716555,-118.2492777,11/4/2021,199067,2022-02-10 19:42:29 UTC,CHADEMO J1772COMBO,US,4.0,49387.0
ELEC,Mid-State Plaza,1951 W Clinton Ave,Fresno,CA,93705,E,Public - Credit card at all times,0.0,7.0,0.0,Evcs,36.77159146,-119.8362773,11/4/2021,199068,2022-02-10 19:42:29 UTC,J1772,US,7.0,49387.0
ELEC,City of Los Angeles - Lot 687,7141 Remmet Ave,Canoga Park,CA,91303,E,Public - Credit card at all times,0.0,0.0,8.0,Evcs,34.20034287,-118.6006134,11/4/2021,199069,2022-02-10 19:42:29 UTC,CHADEMO J1772COMBO,US,8.0,49387.0
